index	count	name
0.0	188.0	101019AB.N.1.RL
1.0	322.0	110228CJ.N.1.RL
2.0	361.0	110314CS.N.1.RL
3.0	429.0	110502BC.N.1.RL
4.0	366.0	110808JB.N.1.RL
5.0	377.0	101018WG.N.1.RL
6.0	328.0	101109JD.N.1.RL
7.0	501.0	101206DM.N.1.RL
8.0	297.0	100907LG.C.1.RL
9.0	304.0	110308DK.C.1.RL
10.0	255.0	110412ET.C.1.RL
11.0	216.0	110418ML.C.1.RL
12.0	368.0	110601OG.C.1.RL
13.0	185.0	110720BB.C.1.RL
14.0	284.0	110727MK.C.1.RL
15.0	602.0	110801EH.C.1.RL
16.0	432.0	110921AR.C.1.RL
17.0	266.0	111003JG.C.1.RL
18.0	211.0	111115WK.C.1.RL
19.0	232.0	100804MB.C.1.RL
20.0	366.0	100716FG.C.1.RL
21.0	273.0	101007PC.C.1.RL
22.0	216.0	101026RM.C.1.RL
23.0	221.0	110222MG.C.1.RL
24.0	229.0	110330DS.C.1.RL
25.0	202.0	110406MB.C.1.RL
26.0	196.0	110420JR.C.1.RL
27.0	239.0	110523CB.C.1.RL
