var1	var2	pvalues	correlations	r2vals	indicators	TP_rev_indicators	FP_rev_indicators	extreme_p	extreme_r	p_ratio	r2_ratio
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Schaalia odontolytica	0.10433436572124888	-0.19552469935900935	0.03822990805943099	0.0	0.0	0.0	1.0	0.0	9.584569696543799	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium	3.420051867614596e-05	-0.42876959006103443	0.18384336136110752	1.0	-1.0	-1.0	9.749307266874291e-05	-0.4083379640181884	2.850631406848867	0.9069671682678095
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_Corynebacterium durum	0.2064949784961223	-0.15207476616811838	0.023126734505087884	0.0	0.0	0.0	1.0	0.0	4.842732773856671	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium	0.011111842635467419	-0.28456289742506735	0.0809760425909494	-1.0	-1.0	-1.0	0.023566725116596653	-0.25750082986784095	2.120865628655955	0.8188431449728292
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Lawsonella_uncultured bacterium	0.08981382115533049	-0.2042146859971875	0.04170363797692989	0.0	0.0	0.0	1.0	0.0	11.134143800323649	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Dietziaceae_Dietzia	0.11568759416359736	-0.18841974109949317	0.03550199883600003	0.0	0.0	0.0	1.0	0.0	8.643969193324821	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Dermacoccaceae_Dermacoccus_Dermacoccus nishinomiyaensis	0.5394899417459793	-0.07386488642451464	0.0054560214465064465	0.0	0.0	0.0	1.0	0.0	1.8536026765645492	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Micrococcaceae_Micrococcus	0.6389183509374748	-0.056484913148158254	0.0031905454133549812	0.0	0.0	0.0	1.0	0.0	1.5651452153983616	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Micrococcaceae_Rothia	0.4545302578320519	-0.0895765982276279	0.00802396695003387	0.0	0.0	0.0	1.0	0.0	2.200073554552001	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Cutibacterium	0.4545302578320519	-0.0895765982276279	0.00802396695003387	0.0	0.0	0.0	1.0	0.0	2.200073554552001	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Atopobiaceae_Coriobacteriaceae UCG-002_uncultured bacterium	0.43919413173087085	-0.07736791018824875	0.005985793526896924	0.0	0.0	0.0	1.0	0.0	2.2768974532036315	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella	0.005171837690819229	-0.32813678328087204	0.10767374854191798	1.0	-1.0	-1.0	0.012582168351456875	-0.2974711032000541	2.4328235152839524	0.8218257322452925
