index	count	name
0.0	33.0	Narf
1.0	7.0	Fap
2.0	34.0	1-Sep
3.0	12.0	Slc5a5
4.0	6.0	Fasl
5.0	6.0	B9d1
6.0	17.0	Itgb7
7.0	7.0	Tcea3
8.0	4.0	Hoxc8
9.0	18.0	Spa17
10.0	26.0	Taco1
11.0	5.0	Rhoc
12.0	23.0	Scin
13.0	11.0	Gnmt
14.0	12.0	Top3a
15.0	6.0	Cacnb3
16.0	0.0	Ccdc65
17.0	12.0	Itpkc
18.0	18.0	Lin7b
19.0	5.0	Il12b
20.0	3.0	Utp20
21.0	8.0	Nkg7
22.0	27.0	Dtx2
23.0	7.0	Hspb1
24.0	12.0	Cd44
25.0	13.0	Slc2a9
26.0	4.0	Ripk4
27.0	19.0	Prlr
28.0	20.0	Il27ra
29.0	8.0	Insr
30.0	20.0	Kit
31.0	3.0	Kctd20
32.0	7.0	Rcn1
33.0	9.0	Mettl1
34.0	6.0	Mrpl49
35.0	12.0	Dennd2c
36.0	14.0	0610009B22Rik
37.0	13.0	Ift22
38.0	1.0	Fzd3
39.0	20.0	Scrn3
40.0	27.0	G0s2
41.0	9.0	Pifo
42.0	13.0	Tmem86a
43.0	2.0	Fsd1
44.0	12.0	Enkd1
45.0	13.0	Trpv4
46.0	4.0	Klra17
47.0	11.0	Elmo3
48.0	20.0	Acsf3
49.0	9.0	Casd1
50.0	10.0	C4a
51.0	5.0	Egfl8
52.0	15.0	Notch4
53.0	4.0	Serac1
54.0	5.0	Bola1
55.0	6.0	Lbp
56.0	18.0	Dyrk3
57.0	5.0	Etaa1
58.0	13.0	Cd40
59.0	6.0	Ada
60.0	12.0	Dhx58
61.0	4.0	Sgk2
62.0	12.0	Gpx3
63.0	11.0	Mrm1
64.0	17.0	Ypel2
65.0	17.0	Appbp2
66.0	25.0	Dusp14
67.0	17.0	Chtf18
68.0	15.0	Rmnd1
69.0	25.0	Hint3
70.0	5.0	Perp
71.0	18.0	Cabcoco1
72.0	17.0	Cfap54
73.0	7.0	Igf1
74.0	20.0	Fam241b
75.0	21.0	Uqcr11
76.0	28.0	Cobl
77.0	11.0	Grb10
78.0	5.0	Phlda1
79.0	19.0	Lyrm7
80.0	16.0	Mgat1
81.0	6.0	Cnot6
