# Constructed from biom file
#OTU ID	101019AB.N.1.RL	110228CJ.N.1.RL	110314CS.N.1.RL	110502BC.N.1.RL	110705RC.N.1.RL	110808JB.N.1.RL	101018WG.N.1.RL	101109JD.N.1.RL	101206DM.N.1.RL
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__;s__	0.0	0.0	0.0	0.0	0.0	0.00873603892514	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus;s__	0.0	0.0	0.0	0.00795504766715	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__;s__	0.0	0.0	0.0	0.0	0.0	0.000276456928011	0.0	0.0	0.000660264105642
k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__SAGMA-X;g__Nitrosotalea;s__devanaterra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016006402561
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__	0.0	0.0	0.0	0.0	0.0	0.00702200597147	0.000133311326384	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__beijingense	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__	0.0	0.0	0.0	0.00296735905045	0.0	0.000165874156806	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__thermautotrophicus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000141904356464	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000331110165082	0.0
k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__[Methanomassiliicoccaceae];g__vadinCA11;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000567617425855	0.0
k__Archaea;p__[Parvarchaeota];c__[Micrarchaea];o__[Micrarchaeles];f__;g__;s__	0.0	0.0	0.0	0.0	0.0	0.0	3.17407919962e-05	0.0	0.0
k__Archaea;p__[Parvarchaeota];c__[Parvarchaea];o__YLA114;f__;g__;s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
