OTU	19o	16o	17o	21o	18o	23o	20o	22o
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__	0.0	0.0	0.0	0.0	0.0	0.0	3.3789491468153397e-05	0.0
k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta;f__	5.403068943159715e-05	1.7198383351964915e-05	0.0	3.1306253424121465e-05	0.0	0.0002025745382221322	0.0	0.0
k__Bacteria;p__FBP;c__;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__	0.0	0.0	0.0	0.0	3.81119347523677e-05	0.0	1.6894745734076698e-05	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.00018010229810532384	5.159515005589475e-05	0.00036165119603216977	3.1306253424121465e-05	0.001067134173066296	0.0003130697408887498	0.00018584220307484367	0.19749009247027735
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	0.0007564296520423603	6.879353340785966e-05	0.0013777188420273133	0.0005009000547859433	0.0008765744993044571	0.00018415867111102926	0.0006420003378949147	0.001321003963011889
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Sporolactobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.0002161227577263886	0.00025797575027947366	0.0003099867394561456	0.0004069812945135791	0.0001905596737618385	0.0004788125448886762	0.0001520527116066903	0.030383091149273445
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__[Thermicanaceae]	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__	0.0	5.159515005589475e-05	0.00013777188420273132	7.826563356030366e-05	9.527983688091924e-05	3.6831734222205854e-05	3.3789491468153397e-05	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	0.0088430228369714	0.06261931378450426	0.14746758055349854	0.12632073256633014	0.0908588524496446	0.018784184453324984	0.04311539111336375	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	1.8010229810532378e-05	0.0	1.7221485525341415e-05	3.1306253424121465e-05	1.905596737618385e-05	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae	0.00027015344715798574	0.0	0.000413315652608194	0.00018783752054472882	0.0002667835432665739	3.6831734222205854e-05	0.00032100016894745737	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.011148332252719544	0.001066299767821825	0.018891969621299527	0.00826485090396807	0.02134268346132591	0.0011786154951105873	0.09553978712620376	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.002323319645558677	0.00042995958379912286	0.004649801091842183	0.005243797448540345	0.01783638546410808	0.0004788125448886762	0.00814326744382497	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	0.0006483682731791657	0.003732049187376385	0.002359343516971774	0.002254050246536745	0.002744059302170475	0.0011970313622216902	0.0034634228754857237	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae	0.22213817448310666	0.5478373032934913	0.4373740678870964	0.3943022618768095	0.4181450921356021	0.2550045118874421	0.478661936137861	0.0006605019815059445
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__;f__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__	0.00030617390677905047	0.0004815547338550176	0.0009816246749444603	0.0011583313766924945	0.001048078205690112	0.00023940627244433804	0.0001520527116066903	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae	0.0012967365463583313	0.0003439676670392983	0.0009988461604698024	0.0004539406746497613	0.002534443661032453	0.00029465387377764683	0.0005237371177563777	0.0006605019815059445
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Dehalobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__EtOH8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
