index	count	name
0.0	29.0	Narf
1.0	7.0	Fap
2.0	28.0	1-Sep
3.0	6.0	Slc5a5
4.0	6.0	Fasl
5.0	4.0	B9d1
6.0	20.0	Itgb7
7.0	12.0	Tcea3
8.0	4.0	Hoxc8
9.0	14.0	Spa17
10.0	28.0	Taco1
11.0	10.0	Rhoc
12.0	27.0	Scin
13.0	14.0	Gnmt
14.0	26.0	Top3a
15.0	7.0	Cacnb3
16.0	0.0	Ccdc65
17.0	26.0	Itpkc
18.0	17.0	Lin7b
19.0	4.0	Il12b
20.0	0.0	Utp20
21.0	5.0	Nkg7
22.0	27.0	Dtx2
23.0	12.0	Hspb1
24.0	9.0	Cd44
25.0	14.0	Slc2a9
26.0	3.0	Ripk4
27.0	12.0	Prlr
28.0	29.0	Il27ra
29.0	24.0	Insr
30.0	8.0	Kit
31.0	3.0	Kctd20
32.0	8.0	Rcn1
33.0	22.0	Mettl1
34.0	3.0	Mrpl49
35.0	22.0	Dennd2c
36.0	11.0	0610009B22Rik
37.0	19.0	Ift22
38.0	0.0	Fzd3
39.0	25.0	Scrn3
40.0	31.0	G0s2
41.0	11.0	Pifo
42.0	18.0	Tmem86a
43.0	7.0	Fsd1
44.0	18.0	Enkd1
45.0	14.0	Trpv4
46.0	5.0	Klra17
47.0	15.0	Elmo3
48.0	27.0	Acsf3
49.0	19.0	Casd1
50.0	10.0	C4a
51.0	4.0	Egfl8
52.0	25.0	Notch4
53.0	6.0	Serac1
54.0	7.0	Bola1
55.0	6.0	Lbp
56.0	16.0	Dyrk3
57.0	5.0	Etaa1
58.0	17.0	Cd40
59.0	8.0	Ada
60.0	12.0	Dhx58
61.0	3.0	Sgk2
62.0	6.0	Gpx3
63.0	17.0	Mrm1
64.0	24.0	Ypel2
65.0	25.0	Appbp2
66.0	19.0	Dusp14
67.0	9.0	Chtf18
68.0	24.0	Rmnd1
69.0	29.0	Hint3
70.0	7.0	Perp
71.0	14.0	Cabcoco1
72.0	16.0	Cfap54
73.0	6.0	Igf1
74.0	25.0	Fam241b
75.0	24.0	Uqcr11
76.0	23.0	Cobl
77.0	5.0	Grb10
78.0	5.0	Phlda1
79.0	12.0	Lyrm7
80.0	27.0	Mgat1
81.0	3.0	Cnot6
82.0	22.0	Ltc4s
83.0	17.0	Itk
84.0	1.0	Upp1
85.0	9.0	Pgam2
86.0	14.0	Tubd1
87.0	23.0	Myo19
88.0	8.0	Pecam1
89.0	2.0	Acox1
90.0	12.0	Llgl2
91.0	1.0	Tekt1
92.0	4.0	Dhrs13
93.0	25.0	Scrn2
94.0	6.0	Lrrc46
95.0	19.0	Tmem107
96.0	12.0	Cfap52
97.0	25.0	Tmem101
98.0	5.0	Dnaaf2
99.0	22.0	Spata7
100.0	13.0	Atl1
101.0	8.0	Serpina3n
102.0	7.0	Plek2
103.0	8.0	Smoc1
104.0	11.0	Net1
105.0	23.0	Numb
106.0	8.0	Irf4
107.0	22.0	Nol8
108.0	19.0	2210016F16Rik
109.0	2.0	Cep72
110.0	3.0	Elovl7
111.0	19.0	Comtd1
112.0	12.0	Nid2
113.0	29.0	Vcl
114.0	7.0	Bmp4
115.0	18.0	Ppif
116.0	14.0	Rnase6
117.0	9.0	Galnt15
118.0	2.0	Dcp1a
119.0	11.0	Atp8a2
120.0	12.0	Ccdc25
121.0	14.0	Ajuba
122.0	6.0	Pdzd2
123.0	21.0	Zfpm2
124.0	18.0	Khdrbs3
125.0	8.0	Cby1
126.0	12.0	Ppp1r1a
127.0	22.0	Gpt
128.0	9.0	Arc
129.0	24.0	Ntan1
130.0	13.0	Rrn3
131.0	7.0	Spag6
132.0	19.0	Maats1
133.0	19.0	Ece2
134.0	20.0	Adamts1
135.0	17.0	Setd4
136.0	14.0	Sncg
137.0	7.0	Gm853
138.0	22.0	Frs3
139.0	28.0	1700010I14Rik
140.0	18.0	Mmp25
141.0	17.0	Satb1
142.0	7.0	Rsph9
143.0	17.0	Bysl
144.0	9.0	Pdzph1
145.0	19.0	Nudt12
146.0	14.0	Ccny
147.0	12.0	Kifc5b
148.0	12.0	Epb41l4a
149.0	2.0	Dcp2
150.0	26.0	Pggt1b
151.0	14.0	Jakmip2
152.0	14.0	Cidea
153.0	12.0	Srfbp1
154.0	19.0	Psmg2
155.0	18.0	Grpel2
156.0	25.0	Fads3
157.0	18.0	Mrpl16
158.0	5.0	Trpm6
159.0	23.0	Pold4
160.0	4.0	Pip5k1b
161.0	19.0	Peli3
162.0	1.0	Lrp5
163.0	31.0	AI846148
164.0	21.0	Dntt
165.0	26.0	Cenpx
166.0	15.0	Scd3
167.0	7.0	Fbxl15
168.0	16.0	Acot9
169.0	21.0	Cdk2
170.0	5.0	Pde6g
171.0	4.0	Katnal2
172.0	11.0	Pstpip2
173.0	29.0	Gaa
174.0	26.0	Nmb
175.0	18.0	Mettl26
176.0	14.0	Ccr1
177.0	17.0	Dhtkd1
178.0	27.0	Uimc1
179.0	27.0	Smad7
180.0	8.0	Mybl1
181.0	7.0	Fastkd2
182.0	17.0	Icos
183.0	19.0	Stradb
184.0	9.0	Nif3l1
185.0	2.0	Il1r1
186.0	7.0	Il1r2
187.0	27.0	Mitd1
188.0	3.0	Gpr35
189.0	5.0	Epb41l5
190.0	19.0	Cfap45
191.0	19.0	Cfap126
192.0	25.0	Meig1
193.0	12.0	Lmx1a
194.0	33.0	Dars2
195.0	19.0	Pter
196.0	14.0	Lrsam1
197.0	21.0	Coq4
198.0	3.0	Spaca9
199.0	26.0	Eng
200.0	3.0	Nr4a2
201.0	7.0	1700007K13Rik
202.0	18.0	Abl1
203.0	16.0	Cutal
204.0	26.0	Agpat2
205.0	21.0	Card9
206.0	11.0	Il1rn
207.0	13.0	Dapl1
208.0	20.0	Zfp385b
209.0	21.0	Commd9
210.0	26.0	Creb3l1
211.0	12.0	Vps39
212.0	7.0	Spef1
213.0	2.0	Rasgrp1
214.0	0.0	Polr1b
215.0	6.0	Il1b
216.0	19.0	Edn3
217.0	21.0	Mrgbp
218.0	9.0	Sla2
219.0	24.0	Pld1
220.0	22.0	Spata5
221.0	24.0	Ppm1l
222.0	17.0	Nmd3
223.0	7.0	1700013F07Rik
224.0	4.0	Col11a1
225.0	21.0	Pla2g12a
226.0	24.0	Snx7
227.0	12.0	Pdgfc
228.0	19.0	Riiad1
229.0	19.0	Manba
230.0	6.0	Bdh2
231.0	7.0	Lrriq3
232.0	36.0	Gbp2
233.0	7.0	Cfap206
234.0	3.0	Aldob
235.0	21.0	Nr4a3
236.0	1.0	Ambp
237.0	19.0	Smim27
238.0	17.0	Unc13b
239.0	12.0	Sit1
240.0	7.0	Dab1
241.0	15.0	Itgb3bp
242.0	0.0	Ppcs
243.0	14.0	Ccdc30
244.0	36.0	Rragc
245.0	7.0	Ipp
246.0	34.0	Rad54l
247.0	12.0	Fabp3
248.0	12.0	Pef1
249.0	15.0	Inpp5b
250.0	12.0	Trp73
251.0	19.0	Mmp23
252.0	21.0	Tnfrsf4
253.0	25.0	5730480H06Rik
254.0	14.0	Nsg1
255.0	32.0	Fosl2
256.0	3.0	Ociad2
257.0	17.0	Cenpa
258.0	7.0	Pdgfra
259.0	0.0	Antxr2
260.0	12.0	Tctn2
261.0	7.0	Cdkl2
262.0	7.0	Ift81
263.0	26.0	Morn3
264.0	27.0	Mad1l1
265.0	7.0	Mrm2
266.0	23.0	Oasl2
267.0	24.0	Rasl11a
268.0	1.0	Gcc1
269.0	8.0	Plxna4
270.0	5.0	Ssmem1
271.0	10.0	Rab19
272.0	7.0	1700003E16Rik
273.0	3.0	Klrg1
274.0	19.0	Tuba8
275.0	9.0	Clec1b
276.0	9.0	Klra13-ps
277.0	30.0	Ptpro
278.0	4.0	Rad18
279.0	6.0	Rassf8
280.0	9.0	Creld1
281.0	23.0	Tmtc1
282.0	26.0	Caprin2
283.0	25.0	Tamm41
284.0	16.0	D6Wsu163e
285.0	22.0	Faap24
286.0	23.0	Vps33b
287.0	12.0	Fbxo17
288.0	19.0	Ccdc90b
289.0	13.0	Coq7
