var1	var2	pvalues	correlations	r2vals	indicators	TP_rev_indicators	FP_rev_indicators	extreme_p	extreme_r	p_ratio	r2_ratio
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinomyces_Schaalia odontolytica				0.0	0.0	0.0	1.0	0.0		
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Bifidobacterium	2.7085557788044776e-05	-0.6156740374247304	0.3790545203588683	1.0	-1.0	-1.0	9.22535428139495e-05	-0.5861397630435008	3.4060049099180465	0.9063599122770716
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium_Corynebacterium durum	0.1699393467706275	-0.23847076336093243	0.05686830497794583	0.0	0.0	0.0	1.0	0.0	5.884452417895496	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Corynebacterium	0.007679121422798383	-0.42808533691623324	0.18325705568268494	0.0	0.0	0.0	1.0	0.0	130.22323061999268	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Corynebacteriaceae_Lawsonella_uncultured bacterium	0.09664823731222832	-0.2886751345948129	0.08333333333333336	0.0	0.0	0.0	1.0	0.0	10.346800188082437	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Corynebacteriales_Dietziaceae_Dietzia	0.10593893244644192	-0.27816398273005216	0.07737520128824475	0.0	0.0	0.0	1.0	0.0	9.439400387629506	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Dermacoccaceae_Dermacoccus_Dermacoccus nishinomiyaensis	0.7179816667337766	-0.06275546404235062	0.003938248267170761	0.0	0.0	0.0	1.0	0.0	1.3927932234665181	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Micrococcaceae_Micrococcus	0.9424176678315622	-0.012551092808470126	0.0001575299306868305	0.0	0.0	0.0	1.0	0.0	1.0611006500980937	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Micrococcales_Micrococcaceae_Rothia	0.129301592894809	-0.26357294897787265	0.06947069943289226	0.0	0.0	0.0	1.0	0.0	7.733856773238147	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Actinobacteria_Propionibacteriales_Propionibacteriaceae_Cutibacterium	0.715062438791529	-0.06281122190678597	0.00394524959742351	0.0	0.0	0.0	1.0	0.0	1.3984792736282186	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Atopobiaceae_Coriobacteriaceae UCG-002_uncultured bacterium	0.19075358570105685	0.1956521739130435	0.038279773156899816	0.0	0.0	0.0	1.0	0.0	5.242365412554651	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella	0.04539379913220078	-0.33752005021020537	0.11391978429389955	0.0	0.0	0.0	1.0	0.0	22.029440564947887	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriaceae_Collinsella_uncultured bacterium	0.053652394422803625	0.3320021729358687	0.11022544283413847	0.0	0.0	0.0	1.0	0.0	18.638497139933325	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Coriobacteriales Incertae Sedis_uncultured_gut metagenome	0.04539379913220078	-0.33752005021020537	0.11391978429389955	0.0	0.0	0.0	1.0	0.0	22.029440564947887	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Adlercreutzia	0.007473541540877047	-0.43373619897468013	0.1881270903010033	0.0	0.0	0.0	1.0	0.0	133.8053711925506	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Enterorhabdus_uncultured bacterium	0.10739735584843442	0.2391304347826087	0.057183364839319475	0.0	0.0	0.0	1.0	0.0	9.311216203602442	0.0
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae_Parvibacter_uncultured bacterium	0.0009293141571058117	0.526631164917272	0.27734038386212295	1.0	-1.0	-1.0	0.0025688315270227225	0.4939491383048745	2.764222956661829	0.8797339494324172
Alpha Muricholic Acid	Bacteria_Actinobacteriota_Coriobacteriia_Coriobacteriales_Eggerthellaceae	0.0027927629659830915	0.49930939193558765	0.2493098688750863	1.0	-1.0	-1.0	0.0061754573930893454	0.47210839807753063	2.211235779158042	0.8940133037694012
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides massiliensis	0.2785986718379626	-0.1882663921270519	0.03544423440453687	0.0	0.0	0.0	1.0	0.0	3.5893925602833305	0.0
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides plebeius	0.2785986718379626	-0.1882663921270519	0.03544423440453687	0.0	0.0	0.0	1.0	0.0	3.5893925602833305	0.0
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides stercoris	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides_Bacteroides vulgatus	0.0035993132087611675	-0.44293978391414907	0.19619565217391308	-1.0	-1.0	-1.0	0.009497973053452985	-0.4054464272139071	2.638829271743776	0.8378718056137412
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides	0.38934138095270876	-0.13043478260869565	0.017013232514177693	0.0	0.0	0.0	1.0	0.0	2.5684400603733017	0.0
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Barnesiellaceae_Barnesiella	0.19075882602629846	-0.2206861866759035	0.04870239298955173	0.0	0.0	0.0	1.0	0.0	5.2422213998220855	0.0
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas	0.6131230293263685	0.08785764965929088	0.0077189666036546955	0.0	0.0	0.0	1.0	0.0	1.6309940292059963	0.0
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Butyricimonas_uncultured bacterium	0.6131230293263685	-0.08785764965929088	0.0077189666036546955	0.0	0.0	0.0	1.0	0.0	1.6309940292059963	0.0
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Marinifilaceae_Odoribacter	0.053652394422803625	-0.3320021729358687	0.11022544283413847	0.0	0.0	0.0	1.0	0.0	18.638497139933325	0.0
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_Muribaculaceae	0.029805605290680822	0.31884057971014496	0.1016593152699013	0.0	0.0	0.0	1.0	0.0	33.55073618695022	0.0
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Muribaculaceae_Muribaculaceae_uncultured bacterium	0.14462291274209205	0.21739130434782608	0.04725897920604915	0.0	0.0	0.0	1.0	0.0	6.914533672705882	0.0
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella_Prevotellaceae bacterium	0.6131230293263685	-0.08785764965929088	0.0077189666036546955	0.0	0.0	0.0	1.0	0.0	1.6309940292059963	0.0
Alpha Muricholic Acid	Bacteria_Bacteroidota_Bacteroidia_Bacteroidales_Prevotellaceae_Alloprevotella	0.930684284733046	0.014818474149146233	0.0002195871761089152	0.0	0.0	0.0	1.0	0.0	1.0744782268316009	0.0
